               epoch,      train/box_loss,      train/obj_loss,      train/cls_loss,   metrics/precision,      metrics/recall,     metrics/mAP_0.5,metrics/mAP_0.5:0.95,        val/box_loss,        val/obj_loss,        val/cls_loss,               x/lr0,               x/lr1,               x/lr2
                   0,             0.12962,            0.015235,            0.029843,          4.3226e-05,           0.0054945,          2.3216e-05,          2.3216e-06,              0.1274,            0.014463,            0.028157,              0.0016,              0.0016,              0.0856
                   1,             0.11663,            0.015748,            0.025865,          3.9724e-05,           0.0067568,          2.2855e-05,          9.1422e-06,             0.12299,            0.014337,            0.026295,           0.0032935,           0.0032935,            0.070293
                   2,             0.10989,            0.014935,            0.023225,          6.3484e-05,            0.013514,          5.0666e-05,            1.52e-05,             0.12293,            0.013666,            0.026066,           0.0049802,           0.0049802,             0.05498
                   3,             0.10723,            0.015164,            0.021862,           0.0014736,               0.188,            0.001659,           0.0004163,             0.11674,            0.013427,             0.02086,           0.0066602,           0.0066602,             0.03966
                   4,             0.11078,            0.016102,            0.020447,            0.013971,              0.0718,           0.0067166,           0.0014574,             0.11558,            0.012468,             0.02744,           0.0083335,           0.0083335,            0.024333
                   5,            0.099859,            0.014651,             0.01738,             0.19412,             0.11234,            0.022416,           0.0070069,             0.12104,            0.014235,            0.037502,            0.009901,            0.009901,            0.009901
                   6,            0.095736,            0.016238,            0.015478,             0.30915,            0.081527,            0.047791,            0.013326,             0.11285,            0.015373,            0.027366,            0.009901,            0.009901,            0.009901
                   7,            0.093325,            0.016608,            0.017904,            0.092812,              0.1234,            0.025664,           0.0063538,             0.11137,            0.015324,            0.042911,           0.0098812,           0.0098812,           0.0098812
                   8,            0.093607,            0.014911,            0.017331,             0.19897,            0.010914,           0.0079283,           0.0012673,             0.12394,            0.012763,            0.021771,           0.0098614,           0.0098614,           0.0098614
                   9,            0.088683,            0.014543,            0.014112,            0.045262,            0.010989,           0.0064995,           0.0018403,             0.10995,            0.014643,            0.025772,           0.0098416,           0.0098416,           0.0098416
                  10,            0.082821,            0.013273,             0.01273,              0.1422,             0.18718,            0.085799,            0.021969,            0.091851,            0.015374,            0.016023,           0.0098218,           0.0098218,           0.0098218
                  11,            0.085374,            0.014721,            0.012222,             0.15385,             0.15934,            0.081717,             0.01955,            0.091332,            0.013356,            0.018618,            0.009802,            0.009802,            0.009802
                  12,            0.082773,              0.0144,            0.012581,             0.24635,             0.27636,             0.16744,            0.052791,            0.088911,            0.012229,            0.013724,           0.0097822,           0.0097822,           0.0097822
                  13,            0.080298,            0.014632,            0.012542,             0.42547,             0.12764,             0.13865,            0.045259,            0.091768,            0.012231,            0.018911,           0.0097624,           0.0097624,           0.0097624
                  14,            0.081308,            0.014352,            0.012328,             0.48746,             0.25861,             0.22185,            0.075189,            0.086239,            0.012118,            0.017328,           0.0097426,           0.0097426,           0.0097426
                  15,             0.07852,            0.014295,            0.010171,             0.22292,             0.32662,             0.18628,            0.058518,            0.085449,            0.011469,            0.013796,           0.0097228,           0.0097228,           0.0097228
                  16,            0.075559,            0.013564,           0.0078286,             0.49053,             0.26025,              0.2555,             0.10183,            0.084291,            0.012268,            0.014627,            0.009703,            0.009703,            0.009703
                  17,            0.075043,            0.014015,           0.0094643,             0.36825,              0.2764,             0.24865,            0.091079,            0.085037,            0.011126,            0.018256,           0.0096832,           0.0096832,           0.0096832
                  18,            0.068354,            0.013834,           0.0081468,             0.39656,             0.31302,             0.27194,             0.09395,            0.080882,            0.011328,            0.016416,           0.0096634,           0.0096634,           0.0096634
                  19,             0.07133,            0.014441,           0.0094973,             0.42137,             0.31601,             0.24193,            0.072902,            0.083673,            0.011235,            0.014531,           0.0096436,           0.0096436,           0.0096436
                  20,             0.07459,            0.014077,           0.0076274,              0.5598,             0.36925,             0.36002,              0.1421,            0.076149,            0.011948,            0.013352,           0.0096238,           0.0096238,           0.0096238
                  21,            0.069359,            0.013452,           0.0073098,             0.50256,              0.2797,             0.29585,             0.10632,            0.079557,            0.011501,             0.01548,            0.009604,            0.009604,            0.009604
                  22,            0.070573,            0.013664,           0.0069584,             0.67848,             0.35662,             0.40142,             0.16752,            0.075879,            0.010539,            0.014661,           0.0095842,           0.0095842,           0.0095842
                  23,            0.072791,            0.013451,           0.0069606,             0.61073,             0.46725,             0.45172,             0.21078,            0.073949,             0.01043,            0.014709,           0.0095644,           0.0095644,           0.0095644
                  24,             0.06709,            0.013199,            0.007488,             0.42957,             0.42842,             0.36633,             0.12566,             0.07484,            0.010632,            0.013579,           0.0095446,           0.0095446,           0.0095446
                  25,            0.069448,            0.013058,           0.0048853,             0.52522,             0.40563,             0.33127,             0.13762,            0.079098,            0.010098,            0.014195,           0.0095248,           0.0095248,           0.0095248
                  26,            0.068786,            0.012157,           0.0061633,             0.30493,              0.3824,             0.21394,            0.077706,            0.081383,            0.010817,            0.021388,            0.009505,            0.009505,            0.009505
                  27,              0.0709,            0.011764,           0.0062435,             0.62307,             0.39338,             0.42171,             0.16064,            0.075061,             0.01071,            0.014779,           0.0094852,           0.0094852,           0.0094852
                  28,            0.067166,            0.012304,            0.005542,             0.73125,             0.29069,              0.3517,             0.11967,            0.076201,            0.010129,            0.021507,           0.0094654,           0.0094654,           0.0094654
                  29,            0.064681,            0.013234,           0.0053967,               0.494,              0.4259,             0.39407,             0.16107,            0.069722,            0.010546,             0.01501,           0.0094456,           0.0094456,           0.0094456
                  30,            0.060374,            0.012921,           0.0045451,             0.64921,             0.39251,             0.40602,             0.16598,            0.073236,            0.010243,            0.012124,           0.0094258,           0.0094258,           0.0094258
                  31,            0.070005,            0.012873,           0.0048383,             0.53779,              0.3276,             0.32312,             0.13902,            0.072685,            0.010701,             0.01348,            0.009406,            0.009406,            0.009406
                  32,            0.065477,            0.012324,             0.00394,             0.56767,              0.3541,             0.37903,             0.12605,            0.074534,           0.0098445,            0.016066,           0.0093862,           0.0093862,           0.0093862
                  33,            0.063863,            0.013214,           0.0048694,             0.54013,             0.42337,             0.45099,             0.17658,            0.069212,           0.0098913,            0.012979,           0.0093664,           0.0093664,           0.0093664
                  34,            0.066247,            0.012813,           0.0043261,             0.49145,             0.41454,             0.39576,              0.1373,            0.072643,            0.009675,            0.015193,           0.0093466,           0.0093466,           0.0093466
                  35,            0.067263,            0.012496,           0.0055805,              0.7049,             0.36509,             0.42415,             0.18329,            0.070054,            0.010261,            0.019056,           0.0093268,           0.0093268,           0.0093268
                  36,            0.065324,            0.011269,           0.0040402,              0.5732,             0.43058,             0.43475,              0.1811,            0.069766,           0.0099949,            0.019032,            0.009307,            0.009307,            0.009307
                  37,            0.062825,            0.012538,           0.0044069,             0.70932,             0.38117,             0.39131,             0.16561,            0.071459,            0.010601,            0.017827,           0.0092872,           0.0092872,           0.0092872
                  38,            0.065199,            0.012957,           0.0066357,             0.62345,             0.43292,             0.40413,             0.16883,            0.073091,            0.011068,            0.020594,           0.0092674,           0.0092674,           0.0092674
                  39,            0.063806,            0.013694,           0.0070979,             0.65274,             0.45337,             0.44616,             0.17748,            0.070023,            0.012438,            0.020977,           0.0092476,           0.0092476,           0.0092476
                  40,            0.062064,            0.012512,           0.0084484,             0.46529,             0.30383,             0.28821,             0.10657,            0.068955,            0.012495,            0.029562,           0.0092278,           0.0092278,           0.0092278
                  41,            0.062237,            0.013135,           0.0052311,             0.46151,             0.37184,             0.36208,             0.12155,            0.072978,            0.011299,            0.021024,            0.009208,            0.009208,            0.009208
                  42,            0.063535,             0.01264,           0.0056353,             0.37655,             0.40506,              0.3488,             0.12485,              0.0717,            0.011115,            0.018345,           0.0091882,           0.0091882,           0.0091882
                  43,            0.061876,            0.012397,           0.0040901,              0.5822,             0.43022,             0.42459,             0.17544,            0.070572,             0.01021,            0.018819,           0.0091684,           0.0091684,           0.0091684
                  44,            0.060313,            0.012409,           0.0036585,             0.59247,             0.38365,             0.38145,             0.12296,            0.069655,            0.009348,            0.018959,           0.0091486,           0.0091486,           0.0091486
                  45,            0.060339,            0.012915,           0.0050181,             0.64546,             0.46644,             0.49622,             0.21389,            0.066969,           0.0095092,            0.017994,           0.0091288,           0.0091288,           0.0091288
                  46,            0.063334,            0.012257,           0.0047931,             0.46209,             0.36635,             0.33536,             0.13069,            0.071658,             0.01056,            0.019306,            0.009109,            0.009109,            0.009109
                  47,            0.063667,            0.013153,           0.0043709,              0.6704,             0.46139,             0.49683,             0.21025,            0.071348,           0.0093751,            0.016751,           0.0090892,           0.0090892,           0.0090892
                  48,            0.062792,            0.011511,           0.0068531,             0.63845,             0.47661,             0.49565,             0.22665,            0.066933,           0.0095975,            0.016852,           0.0090694,           0.0090694,           0.0090694
                  49,            0.063765,            0.012768,           0.0066225,             0.42604,             0.35833,             0.36565,             0.14379,            0.064483,            0.011354,            0.016936,           0.0090496,           0.0090496,           0.0090496
                  50,            0.060601,            0.013363,           0.0031245,             0.50191,             0.41461,             0.41654,             0.18981,            0.067618,            0.010193,             0.01747,           0.0090298,           0.0090298,           0.0090298
                  51,            0.061625,            0.012494,           0.0048082,             0.70724,             0.37606,             0.48028,             0.20579,            0.069491,           0.0099803,           0.0083774,             0.00901,             0.00901,             0.00901
                  52,            0.058704,            0.012413,           0.0034639,             0.64998,              0.3714,             0.42184,             0.18795,            0.070389,           0.0096971,           0.0076722,           0.0089902,           0.0089902,           0.0089902
                  53,            0.057755,            0.011813,           0.0034774,             0.63451,             0.43239,             0.46751,              0.2012,            0.067699,           0.0095652,           0.0047153,           0.0089704,           0.0089704,           0.0089704
                  54,            0.059274,             0.01229,           0.0050324,             0.64678,             0.44126,             0.46464,             0.18716,            0.068017,           0.0097726,           0.0040279,           0.0089506,           0.0089506,           0.0089506
                  55,            0.057156,            0.011954,           0.0037596,             0.56411,             0.38959,             0.40113,             0.15873,            0.069489,            0.010062,           0.0079458,           0.0089308,           0.0089308,           0.0089308
                  56,            0.058797,            0.011714,           0.0039616,             0.49363,             0.52048,             0.46188,             0.19169,            0.068304,           0.0092989,            0.006987,            0.008911,            0.008911,            0.008911
                  57,            0.058086,            0.012029,           0.0039977,             0.64185,             0.47057,             0.50223,             0.19825,            0.068795,           0.0091235,           0.0061057,           0.0088912,           0.0088912,           0.0088912
                  58,            0.058016,            0.011829,           0.0043592,             0.52339,             0.49901,             0.50016,             0.22014,            0.066234,           0.0094856,           0.0076941,           0.0088714,           0.0088714,           0.0088714
                  59,            0.059991,            0.011842,           0.0038976,             0.52526,             0.53014,             0.48339,             0.20914,            0.068217,           0.0092222,           0.0054706,           0.0088516,           0.0088516,           0.0088516
                  60,             0.05495,            0.011913,           0.0034382,             0.67204,             0.45964,             0.50892,             0.21064,            0.068539,           0.0091007,           0.0064664,           0.0088318,           0.0088318,           0.0088318
                  61,            0.056344,             0.01176,           0.0029592,             0.76117,             0.46423,             0.55591,             0.21567,            0.070828,           0.0090254,           0.0046728,            0.008812,            0.008812,            0.008812
                  62,            0.057973,            0.011455,           0.0025216,             0.58332,             0.51084,             0.49545,             0.20181,            0.066013,           0.0094255,           0.0043814,           0.0087922,           0.0087922,           0.0087922
                  63,            0.055833,            0.011655,           0.0029531,             0.64914,             0.52071,             0.54101,             0.22825,            0.065949,           0.0091654,           0.0037468,           0.0087724,           0.0087724,           0.0087724
                  64,            0.050594,            0.010392,           0.0024235,             0.45776,             0.45282,             0.42597,             0.16276,            0.067326,            0.010091,           0.0055335,           0.0087526,           0.0087526,           0.0087526
                  65,            0.054894,            0.010837,            0.003937,             0.53695,             0.49957,             0.47547,             0.21882,            0.064785,           0.0099088,           0.0063768,           0.0087328,           0.0087328,           0.0087328
                  66,            0.053732,             0.01168,           0.0033364,             0.59758,             0.48255,             0.47199,             0.18737,            0.067705,           0.0096407,           0.0070097,            0.008713,            0.008713,            0.008713
                  67,            0.056669,            0.011707,           0.0032336,             0.64388,             0.55777,             0.52421,             0.22707,             0.06616,            0.009751,            0.011247,           0.0086932,           0.0086932,           0.0086932
                  68,            0.056266,            0.012222,           0.0023842,             0.61897,             0.49228,             0.48075,             0.18535,             0.07025,           0.0094889,           0.0091943,           0.0086734,           0.0086734,           0.0086734
                  69,            0.056423,            0.010998,            0.002478,              0.7356,             0.49309,             0.53592,             0.22527,            0.064351,           0.0094809,           0.0066528,           0.0086536,           0.0086536,           0.0086536
                  70,            0.051717,            0.010967,            0.002245,             0.70339,              0.5271,             0.54589,              0.2285,            0.066775,           0.0092903,           0.0050254,           0.0086338,           0.0086338,           0.0086338
                  71,            0.056303,             0.01078,           0.0028712,             0.66529,             0.47429,               0.515,             0.22361,            0.067741,           0.0091625,           0.0046748,            0.008614,            0.008614,            0.008614
                  72,            0.053664,            0.011481,           0.0035226,             0.69092,             0.47267,             0.50022,             0.18543,            0.069216,           0.0088615,           0.0038757,           0.0085942,           0.0085942,           0.0085942
                  73,            0.053762,             0.01133,           0.0023455,             0.70357,             0.53647,             0.56456,             0.21232,            0.068008,           0.0087261,           0.0040903,           0.0085744,           0.0085744,           0.0085744
                  74,            0.053844,            0.010045,           0.0020489,             0.74109,               0.558,             0.58135,             0.25045,            0.066623,           0.0091187,           0.0045542,           0.0085546,           0.0085546,           0.0085546
                  75,            0.053141,            0.010372,            0.002031,             0.75386,             0.49012,             0.55612,             0.25828,             0.06466,           0.0095942,           0.0041626,           0.0085348,           0.0085348,           0.0085348
                  76,            0.055237,            0.011609,           0.0019139,             0.67898,             0.49139,             0.52488,             0.22328,             0.06566,           0.0098893,           0.0032888,            0.008515,            0.008515,            0.008515
                  77,            0.054016,            0.011447,           0.0022651,             0.64726,              0.4745,             0.51531,             0.22992,             0.06422,           0.0094589,           0.0048632,           0.0084952,           0.0084952,           0.0084952
                  78,            0.050769,             0.01039,           0.0019296,             0.66393,             0.49367,             0.52581,             0.21068,            0.066236,           0.0091488,           0.0043861,           0.0084754,           0.0084754,           0.0084754
                  79,            0.054003,            0.010267,           0.0019429,             0.74673,             0.45508,             0.52085,             0.23458,            0.065493,            0.009568,           0.0028859,           0.0084556,           0.0084556,           0.0084556
                  80,            0.052087,            0.011035,           0.0019345,             0.62017,             0.51437,             0.54643,             0.23782,            0.067754,           0.0093125,           0.0028537,           0.0084358,           0.0084358,           0.0084358
