               epoch,      train/box_loss,      train/obj_loss,      train/cls_loss,   metrics/precision,      metrics/recall,     metrics/mAP_0.5,metrics/mAP_0.5:0.95,        val/box_loss,        val/obj_loss,        val/cls_loss,               x/lr0,               x/lr1,               x/lr2
                   0,             0.13382,             0.01448,            0.030928,          4.8095e-05,           0.0054945,          2.5454e-05,          2.5454e-06,             0.13738,            0.012972,             0.02857,              0.0002,              0.0002,              0.0982
                   1,             0.13104,            0.016072,            0.031048,                   0,                   0,                   0,                   0,             0.13223,            0.014018,            0.028351,          0.00049835,          0.00049835,            0.095498
                   2,             0.12567,            0.015679,            0.029488,          5.0968e-05,           0.0054945,          2.6378e-05,          2.6378e-06,             0.12914,            0.014032,            0.026725,          0.00079472,          0.00079472,            0.092795
                   3,             0.12229,             0.01542,            0.027717,                   0,                   0,                   0,                   0,             0.12798,            0.013962,            0.027485,           0.0010891,           0.0010891,            0.090089
                   4,             0.11986,            0.015516,            0.026069,                   0,                   0,                   0,                   0,             0.12568,            0.013242,            0.028191,           0.0013815,           0.0013815,            0.087382
                   5,              0.1195,            0.016823,            0.026332,                   0,                   0,                   0,                   0,              0.1242,            0.012579,            0.028858,            0.001672,            0.001672,            0.084672
                   6,             0.11334,            0.016893,            0.023961,           2.984e-05,           0.0067568,          1.5157e-05,          3.0315e-06,             0.12022,            0.012595,            0.028299,           0.0019604,           0.0019604,             0.08196
                   7,             0.11108,            0.017375,            0.025918,            0.000444,            0.051975,          0.00034326,          0.00010217,             0.12376,            0.012428,            0.023551,           0.0022469,           0.0022469,            0.079247
                   8,             0.10936,            0.016227,            0.022244,           0.0023235,             0.26492,           0.0065029,           0.0016661,             0.11181,            0.012716,            0.022854,           0.0025314,           0.0025314,            0.076531
                   9,              0.1024,            0.014924,            0.019917,           0.0030005,             0.39716,            0.013084,           0.0024401,             0.11025,            0.012252,            0.020879,           0.0028139,           0.0028139,            0.073814
                  10,            0.099379,            0.016648,            0.016776,            0.017515,             0.13521,           0.0094196,           0.0020009,             0.11031,             0.01191,            0.022131,           0.0030944,           0.0030944,            0.071094
                  11,             0.10091,            0.014884,            0.015445,            0.011033,            0.047743,            0.004003,          0.00061211,              0.1142,            0.010757,            0.032507,           0.0033729,           0.0033729,            0.068373
                  12,            0.099797,            0.015452,            0.014793,            0.056937,              0.1234,            0.030201,           0.0069645,             0.10392,            0.011507,             0.01734,           0.0036495,           0.0036495,             0.06565
                  13,            0.093853,            0.015507,             0.01452,            0.051168,            0.095931,             0.02827,           0.0061167,             0.10756,            0.010858,            0.018085,           0.0039241,           0.0039241,            0.062924
                  14,            0.090991,            0.014567,             0.01259,             0.03506,             0.13647,            0.015547,           0.0044227,             0.11093,            0.012005,            0.015651,           0.0041967,           0.0041967,            0.060197
                  15,            0.094111,            0.014629,            0.010618,            0.009882,             0.19684,           0.0055458,           0.0010347,              0.1168,            0.012815,            0.029649,           0.0044673,           0.0044673,            0.057467
                  16,            0.096106,            0.012063,            0.011828,            0.038155,            0.010989,            0.006663,           0.0010404,             0.12289,           0.0088281,            0.016903,            0.004736,            0.004736,            0.054736
